,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,26.6
2,17.860956,101.61144,AIT002,23.7
3,18.151169,102.17911,AIT003,23.7
4,18.016796,103.0809,AIT004,25.0
5,18.282616,103.88075,AIT005,23.7
6,17.61093,104.396034,AIT006,24.9
7,17.09678,104.76291,AIT007,
8,16.546862,104.730385,AIT008,26.0
9,16.345835,104.889885,AIT009,25.4
10,15.931226,105.33725,AIT010,25.7
11,15.310499,105.49311,AIT011,28.0
12,17.61611,103.42706,BAKI,24.8
13,17.372976,103.984436,BBUA,24.6
14,17.38684,103.29087,BCNG,25.4
15,14.587073,102.49519,BDAR,27.9
16,17.704449,103.26374,BDGN,25.3
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,25.3
19,16.008148,103.319046,BDWN,26.5
20,15.013624,102.7486,BGRT,27.8
21,14.615361,104.64972,BHPK,27.1
22,15.34234,104.821556,BHRA,27.5
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,28.0
25,16.018831,101.50007,BJIG,26.0
26,15.6989565,102.01483,BKHI,27.2
27,17.968061,104.04947,BKHL,24.9
28,14.7293005,101.98731,BKUG,28.2
29,16.425287,103.559715,BMOD,26.3
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,25.1
33,16.127357,104.115,BNHO,26.7
34,16.908905,104.61866,BNKE,24.9
35,14.694645,102.88828,BNKP,28.7
36,15.12195,104.24135,BNLG,26.9
37,16.18973,104.51632,BNMK,25.7
38,16.11657,102.706726,BNPI,27.2
39,17.686718,102.47648,BNPU,24.9
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,23.8
42,17.351482,104.620384,BPUG,
43,17.626986,104.26147,BPUN,24.4
44,14.837475,102.06884,BSDE,27.9
45,17.317413,101.63532,BSIK,24.7
46,14.395698,102.84723,BSKJ,28.3
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,25.2
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,26.6
51,14.496074,102.247284,BUGN,26.6
52,18.364815,103.65407,BUSW,25.1
53,15.933129,101.699524,CHI001,23.2
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,27.6
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,26.7
58,16.325874,102.78599,CHI006,26.7
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,27.4
63,15.322514,104.546524,CHI011,27.5
64,16.2323,103.27108,CHI012,26.6
65,16.411118,103.46708,CHI013,26.7
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,26.8
68,15.113833,103.6104,CHPA,27.2
69,15.906904,101.42754,CHTG,26.0
70,16.368202,104.057785,CPON,25.0
71,16.11673,102.231926,CSMO,26.3
72,17.07915,104.32593,DMKH,24.7
73,16.3184,104.918945,DTAN,
74,17.594927,103.96947,FOP014,25.2
75,17.689241,103.946594,FOP023,
76,17.622486,103.93653,FOP024,25.3
77,18.339111,103.39763,HKNL,21.5
78,16.43052,101.96628,HUYG,25.7
79,14.973367,103.18647,HYRT,28.9
80,16.496685,104.66871,KAHN,25.3
81,14.710342,105.01801,KANG,27.2
82,15.443823,102.32844,KHOG,28.6
83,16.543028,104.40855,KMCE,
84,17.831097,103.75677,KMTK,24.9
85,15.308299,103.12403,KNDG,27.6
86,17.31235,101.7726,KON001,24.5
87,17.509333,101.7366,KON002,24.0
88,17.575666,102.27328,KON003,24.5
89,17.48233,102.79708,KON004,25.4
90,17.639353,103.0984,KON005,25.0
91,16.74822,102.923195,KPEM,26.7
92,16.243116,103.06304,KSPS,
93,17.412985,102.788666,KUDN,26.5
94,15.665376,103.57421,KWSI,
95,16.896736,102.20167,LDKS,25.5
96,17.496407,100.88749,LHOK,21.8
97,14.188854,102.68468,LNRG,26.6
98,14.850811,103.49769,MGTI,27.3
99,16.48885,102.419075,MITP01,26.4
100,15.105278,104.568665,MKTR,28.0
101,17.503641,101.35063,MOU087,20.2
102,17.928356,102.06969,MOU088,23.0
103,17.210735,103.003716,MOU089,25.0
104,17.187243,103.45411,MOU090,24.2
105,17.158497,102.69408,MOU091,23.8
106,17.078436,102.56078,MOU092,25.3
107,16.931946,102.7016,MOU093,26.3
108,16.886986,101.78821,MOU094,19.1
109,16.758228,101.96858,MOU095,
110,16.682842,103.957504,MOU096,
111,16.677929,102.354195,MOU097,25.4
112,16.66195,102.22475,MOU098,23.8
113,16.66067,101.73709,MOU099,24.0
114,16.433313,104.80224,MOU100,26.0
115,15.997118,101.88819,MOU101,26.4
116,15.984405,102.037865,MOU102,25.7
117,15.885829,104.73016,MOU103,26.2
118,15.632916,101.38916,MOU104,24.7
119,15.62108,105.6168,MOU105,
120,14.549555,101.26519,MOU106,25.2
121,14.467741,101.59084,MOU107,24.0
122,14.404393,104.688,MOU108,26.2
123,14.4351635,105.255844,MOU109,28.7
124,14.431585,104.05005,MOU110,27.5
125,14.356429,101.72591,MOU111,
126,14.322967,101.93308,MOU112,25.8
127,14.250021,102.97807,MOU113,27.6
128,16.8692,104.528,MOU204,24.9
129,17.3048,101.4,MOU211,22.9
130,17.503416,100.93903,MOU212,22.2
131,16.8463,103.779,MOU231,26.8
132,15.9385,101.521,MOU232,23.8
133,16.4997,101.673,MOU233,21.1
134,15.10227,104.28878,MOU244,
135,14.5013,104.276,MOU251,26.4
136,14.4554,103.915,MOU252,28.4
137,14.2047,102.211,MOU256,29.9
138,17.249895,101.38313,MOU426,24.3
139,14.968018,102.23782,MUN002,27.9
140,15.286645,102.68465,MUN003,27.9
141,15.201532,102.489685,MUN004,
142,15.339514,104.15235,MUN005,27.8
143,15.205614,104.81391,MUN006,
144,15.435367,103.01265,MUN008,
145,14.875548,103.37887,MUN009,
146,15.118101,104.318596,MUN010,27.7
147,15.249662,105.2393,MUN011,27.6
148,14.633083,103.23043,MUN012,28.1
149,15.048324,104.02095,MUN013,
150,15.299861,103.29233,MUN014,28.0
151,15.329683,103.68261,MUN015,
152,15.840045,104.455666,MUN016,
153,15.32767,104.68188,MUN017,
154,16.797806,104.04481,NAKU,
155,15.350509,103.47608,NANP,28.0
156,15.560492,105.50172,NAPK,
157,15.011457,104.9482,NASG,27.8
158,17.824257,101.66916,NASW,23.3
159,15.254277,101.8664,NBLK,27.8
160,17.889479,103.21055,NEAK,24.5
161,15.2784605,102.63903,NGCH,27.7
162,15.977661,105.03393,NGPH,
163,17.204111,103.687035,NKNN,
164,15.165593,102.087746,NKSG,28.1
165,17.080946,103.39906,NKTP,26.0
166,15.891125,103.078186,NNDG,27.2
167,16.199198,101.93238,NNKO,26.2
168,17.320726,102.0248,NNPT,25.3
169,16.67888,101.987114,NNTU,
170,15.774314,103.102806,NOKG,26.9
171,18.10733,103.41312,NOKW,24.2
172,17.695118,102.6153,NONA,23.6
173,14.864202,104.350685,NOPU,27.9
174,15.901687,105.278755,NTAN,26.6
175,15.754068,103.917465,NTTI,
