,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,23.1
1,15.788054,104.642235,ACRU,23.4
2,17.860956,101.61144,AIT002,21.2
3,18.151169,102.17911,AIT003,27.4
4,18.016796,103.0809,AIT004,22.5
5,18.282616,103.88075,AIT005,21.9
6,17.61093,104.396034,AIT006,
7,17.09678,104.76291,AIT007,
8,16.546862,104.730385,AIT008,22.3
9,16.345835,104.889885,AIT009,21.5
10,15.931226,105.33725,AIT010,
11,15.310499,105.49311,AIT011,23.7
12,17.61611,103.42706,BAKI,
13,17.372976,103.984436,BBUA,21.4
14,17.38684,103.29087,BCNG,22.9
15,14.587073,102.49519,BDAR,23.2
16,17.704449,103.26374,BDGN,22.7
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,22.5
19,16.008148,103.319046,BDWN,22.2
20,15.013624,102.7486,BGRT,23.4
21,14.615361,104.64972,BHPK,22.8
22,15.34234,104.821556,BHRA,23.8
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,22.9
25,16.018831,101.50007,BJIG,23.5
26,15.6989565,102.01483,BKHI,23.1
27,17.968061,104.04947,BKHL,21.5
28,14.7293005,101.98731,BKUG,24.5
29,16.425287,103.559715,BMOD,24.0
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,23.9
32,17.261852,102.33818,BNHI,22.2
33,16.127357,104.115,BNHO,23.0
34,16.908905,104.61866,BNKE,20.7
35,14.694645,102.88828,BNKP,23.9
36,15.12195,104.24135,BNLG,22.6
37,16.18973,104.51632,BNMK,22.3
38,16.11657,102.706726,BNPI,24.8
39,17.686718,102.47648,BNPU,21.8
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,21.0
42,17.351482,104.620384,BPUG,21.2
43,17.626986,104.26147,BPUN,21.3
44,14.837475,102.06884,BSDE,23.8
45,17.317413,101.63532,BSIK,
46,14.395698,102.84723,BSKJ,23.9
47,15.212073,102.4462,BSUM,23.7
48,17.703592,103.435104,BTHO,24.4
49,14.666736,104.27321,BTUD,22.6
50,16.44443,102.725105,BTUM,23.6
51,14.496074,102.247284,BUGN,22.8
52,18.364815,103.65407,BUSW,21.8
53,15.933129,101.699524,CHI001,
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,24.5
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,23.5
58,16.325874,102.78599,CHI006,25.3
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,23.3
63,15.322514,104.546524,CHI011,23.0
64,16.2323,103.27108,CHI012,23.2
65,16.411118,103.46708,CHI013,23.7
66,15.96448,104.0153,CHI014,
67,16.528978,102.906006,CHI015,23.9
68,15.113833,103.6104,CHPA,20.8
69,15.906904,101.42754,CHTG,23.7
70,16.368202,104.057785,CPON,22.2
71,16.11673,102.231926,CSMO,22.5
72,17.07915,104.32593,DMKH,21.6
73,16.3184,104.918945,DTAN,21.4
74,17.594927,103.96947,FOP014,22.7
75,17.689241,103.946594,FOP023,21.6
76,17.622486,103.93653,FOP024,22.2
77,18.339111,103.39763,HKNL,22.1
78,16.43052,101.96628,HUYG,22.3
79,14.973367,103.18647,HYRT,23.6
80,16.496685,104.66871,KAHN,21.3
81,14.710342,105.01801,KANG,23.3
82,15.443823,102.32844,KHOG,24.5
83,16.543028,104.40855,KMCE,
84,17.831097,103.75677,KMTK,22.4
85,15.308299,103.12403,KNDG,23.2
86,17.31235,101.7726,KON001,21.3
87,17.509333,101.7366,KON002,21.4
88,17.575666,102.27328,KON003,21.4
89,17.48233,102.79708,KON004,23.0
90,17.639353,103.0984,KON005,22.3
91,16.74822,102.923195,KPEM,24.0
92,16.243116,103.06304,KSPS,
93,17.412985,102.788666,KUDN,23.6
94,15.665376,103.57421,KWSI,22.9
95,16.896736,102.20167,LDKS,21.8
96,17.496407,100.88749,LHOK,20.7
97,14.188854,102.68468,LNRG,22.6
98,14.850811,103.49769,MGTI,
99,16.48885,102.419075,MITP01,23.1
100,15.105278,104.568665,MKTR,22.9
101,17.503641,101.35063,MOU087,
102,17.928356,102.06969,MOU088,20.6
103,17.210735,103.003716,MOU089,22.7
104,17.187243,103.45411,MOU090,21.4
105,17.158497,102.69408,MOU091,19.9
106,17.078436,102.56078,MOU092,22.3
107,16.931946,102.7016,MOU093,23.4
108,16.886986,101.78821,MOU094,17.0
109,16.758228,101.96858,MOU095,22.9
110,16.682842,103.957504,MOU096,22.6
111,16.677929,102.354195,MOU097,22.2
112,16.66195,102.22475,MOU098,20.8
113,16.66067,101.73709,MOU099,20.7
114,16.433313,104.80224,MOU100,21.3
115,15.997118,101.88819,MOU101,22.6
116,15.984405,102.037865,MOU102,22.7
117,15.885829,104.73016,MOU103,22.3
118,15.632916,101.38916,MOU104,21.2
119,15.62108,105.6168,MOU105,21.9
120,14.549555,101.26519,MOU106,22.7
121,14.467741,101.59084,MOU107,20.2
122,14.404393,104.688,MOU108,20.2
123,14.4351635,105.255844,MOU109,27.7
124,14.431585,104.05005,MOU110,21.5
125,14.356429,101.72591,MOU111,20.4
126,14.322967,101.93308,MOU112,22.1
127,14.250021,102.97807,MOU113,22.8
128,16.8692,104.528,MOU204,21.6
129,17.3048,101.4,MOU211,21.3
130,17.503416,100.93903,MOU212,
131,16.8463,103.779,MOU231,23.4
132,15.9385,101.521,MOU232,19.6
133,16.4997,101.673,MOU233,18.1
134,15.10227,104.28878,MOU244,
135,14.5013,104.276,MOU251,20.7
136,14.4554,103.915,MOU252,22.1
137,14.2047,102.211,MOU256,22.8
138,17.249895,101.38313,MOU426,19.6
139,14.968018,102.23782,MUN002,23.0
140,15.286645,102.68465,MUN003,
141,15.201532,102.489685,MUN004,
142,15.339514,104.15235,MUN005,23.9
143,15.205614,104.81391,MUN006,
144,15.435367,103.01265,MUN008,
145,14.875548,103.37887,MUN009,25.6
146,15.118101,104.318596,MUN010,24.1
147,15.249662,105.2393,MUN011,23.4
148,14.633083,103.23043,MUN012,24.0
149,15.048324,104.02095,MUN013,
150,15.299861,103.29233,MUN014,22.7
151,15.329683,103.68261,MUN015,
152,15.840045,104.455666,MUN016,
153,15.32767,104.68188,MUN017,
154,16.797806,104.04481,NAKU,23.1
155,15.350509,103.47608,NANP,23.1
156,15.560492,105.50172,NAPK,22.4
157,15.011457,104.9482,NASG,23.8
158,17.824257,101.66916,NASW,21.1
159,15.254277,101.8664,NBLK,23.8
160,17.889479,103.21055,NEAK,21.8
161,15.2784605,102.63903,NGCH,23.4
162,15.977661,105.03393,NGPH,22.3
163,17.204111,103.687035,NKNN,20.9
164,15.165593,102.087746,NKSG,
165,17.080946,103.39906,NKTP,21.8
166,15.891125,103.078186,NNDG,23.4
167,16.199198,101.93238,NNKO,23.3
168,17.320726,102.0248,NNPT,22.4
169,16.67888,101.987114,NNTU,
170,15.774314,103.102806,NOKG,23.3
171,18.10733,103.41312,NOKW,22.5
172,17.695118,102.6153,NONA,22.8
173,14.864202,104.350685,NOPU,23.4
174,15.901687,105.278755,NTAN,22.2
175,15.754068,103.917465,NTTI,23.6
176,17.250784,102.60559,NWSO,21.4
177,14.499624,104.99805,NYUN,23.1
178,16.92319,104.7161,ONE006,21.6
179,16.922228,104.71621,ONE007,21.2
180,16.928389,104.720314,ONE008,21.7
181,16.927946,104.72031,ONE009,22.0
182,16.929127,104.70069,ONE010,21.2
183,16.96218,104.52514,ONE011,
184,16.96175,104.52583,ONE012,21.5
185,16.993048,104.59141,ONE013,21.0
186,17.001423,104.42569,ONE014,21.8
187,17.00039,104.42528,ONE015,
188,17.057098,104.363556,ONE016,22.1
189,17.065418,104.579025,ONE017,
190,17.064844,104.57885,ONE018,22.6
191,17.115343,104.53788,ONE019,
192,17.114717,104.53841,ONE020,21.1
193,15.240674,101.786194,ONE021,24.4
194,15.310615,101.743996,ONE022,23.9
195,17.081032,104.36085,ONE028,21.3
196,17.080105,104.36071,ONE029,24.9
197,17.126007,104.14093,ONE030,21.5
198,17.15318,104.2829,ONE031,
199,17.15333,104.28338,ONE032,
200,17.166748,104.11901,ONE033,23.1
201,17.208946,104.101845,ONE034,22.7
202,16.548172,104.20809,ONE050,22.0
203,16.923668,103.59711,ONE051,29.1
204,16.533354,103.205505,ONE052,22.7
205,14.418626,102.22095,ONE053,23.7
206,15.486866,102.24146,ONE054,23.3
207,15.603773,102.21791,ONE055,23.2
208,14.772733,101.71567,ONE056,23.1
209,14.635942,101.844666,ONE057,22.5
210,16.30008,102.26176,ONE065,23.0
211,16.870367,104.552444,ONE068,21.0
212,17.177198,104.608246,ONE069,21.2
213,16.923141,104.39272,ONE070,21.5
214,14.2470045,102.93663,ONE072,23.2
215,14.370019,103.14557,ONE073,23.4
216,16.341164,104.52088,ONE083,21.8
217,16.226318,104.775986,ONE084,22.1
218,16.461332,104.260345,ONE085,
219,16.798046,104.51644,ONE086,20.9
220,16.12564,104.750725,ONE087,
221,16.683016,104.15919,ONE092,22.6
222,14.486936,104.45376,ONE093,21.3
223,16.871344,103.992195,ONE094,21.3
224,16.90026,104.18291,ONE095,22.0
225,17.120447,104.05049,ONE096,20.1
226,17.214973,103.95327,ONE097,21.5
227,14.431426,103.96209,ONE101,21.7
228,14.4672365,103.61535,ONE102,22.9
229,15.927208,104.62791,ONE103,22.3
230,15.939874,104.78428,ONE104,21.7
231,17.356894,102.60081,ONE105,25.2
232,17.041063,102.62487,ONE106,22.5
233,14.420161,105.179794,ONE107,
234,17.398815,103.71349,PGKH,22.1
235,16.877161,101.861404,PHKD,22.1
236,15.781359,102.596535,PHON,23.7
237,18.059086,103.08175,PHPS,22.3
238,18.063122,103.73638,PNCR,21.4
239,17.089527,101.11005,POCE,19.6
240,17.006287,103.91594,PPAN,20.8
241,14.645426,103.436264,PRST,23.2
242,17.877052,102.727104,PTWY,23.1
243,16.638739,102.42057,PTYS,23.6
244,15.310045,105.279106,RAWE,23.5
245,14.984579,101.50314,RID085,
246,14.644163,101.31594,RSW001,23.1
247,14.627946,101.32013,RSW002,22.8
248,14.614695,101.332344,RSW003,24.1
249,16.380875,103.75481,SACS,23.2
250,18.0687,102.26269,SGKM,21.4
251,14.947535,102.40288,SISU,23.0
252,17.777632,104.01503,SKM001,
253,17.821556,103.38691,SKM003,
254,17.674871,104.28583,SKM004,22.5
255,17.594727,103.38448,SKM005,23.1
256,16.355639,102.37859,SMSU,23.2
257,17.020002,102.59124,SOKL,23.1
258,17.251728,104.181786,TARE,21.7
259,15.5038,104.966,TB0003,
260,15.097126,102.866806,TBR016,23.3
261,15.795404,104.14032,TBR017,23.6
262,15.983045,104.31135,TBR018,
263,16.14868,104.3944,TBR019,21.9
264,16.268076,104.40586,TBR020,
265,16.167002,104.64116,TBR021,
266,14.617069,102.90032,TBW017,
267,14.559918,102.95148,TBW018,23.4
268,14.271639,102.98231,TBW019,23.2
269,16.2593,103.69052,TBW025,23.3
270,16.60361,103.96229,TBW026,23.5
271,17.322672,103.97925,TBW027,21.7
272,17.59971,103.98092,TBW028,22.3
273,16.320581,104.02246,TBW029,22.5
274,16.996626,104.17369,TBW030,22.0
275,15.806231,104.328125,TBW031,
276,17.029024,104.41203,TBW032,21.4
277,16.195423,104.52569,TBW033,22.5
278,15.399449,101.60259,TEPT,23.8
279,15.31667,103.93546,THAT,22.7
280,15.621557,105.023094,TKPP,22.8
281,14.606866,101.45632,TLPC,22.4
282,15.886104,104.161385,TNOK,
283,16.997461,104.16753,TOGO,22.1
284,17.45857,101.361595,TPUR,20.0
285,14.732631,104.90764,TSUD,23.1
286,14.537939,101.96932,UDMS,22.4
287,15.18156,102.844444,VLGE01,22.7
288,15.755694,105.49456,VLGE02,21.9
289,14.592325,102.66769,VLGE07,23.8
290,15.180775,103.15741,VLGE08,23.2
291,15.418898,104.34194,VLGE14,22.6
292,14.93519,102.888565,VLGE21,24.3
293,15.916482,102.536285,VLGE24,23.3
294,14.572733,103.47313,VLGE27,23.6
295,17.147375,102.33215,VLGE32,21.8
296,18.294792,103.99484,VLGE34,
297,15.873154,102.01616,VLGE37,
298,16.829872,102.63799,VLGE38,
299,16.616161,103.71737,VLGE39,
300,16.430733,104.07318,VLGE43,23.4
301,14.85901,103.36128,VLGE44,22.6
302,15.839306,102.41476,VLGE46,23.6
303,15.639162,102.039345,WEI011,23.5
304,15.638419,102.04003,WEI012,23.3
305,15.7906,102.30444,WEI021,
306,15.79127,102.305244,WEI022,23.0
307,16.073935,102.49413,WEI031,
308,16.074396,102.49476,WEI032,
309,16.724548,102.80348,WEI041,23.3
310,16.369093,102.9476,WEI051,
311,16.365917,102.949814,WEI052,23.5
312,16.19945,103.472946,WEI061,23.0
313,16.20019,103.473595,WEI062,23.2
314,16.17262,103.78899,WEI071,24.1
315,16.17226,103.78975,WEI072,23.9
316,15.732574,104.1318,WEI081,22.5
317,15.310541,104.45604,WEI091,23.4
318,15.310815,104.45696,WEI092,22.5
319,15.135041,104.70204,WEI101,23.0
320,15.134361,104.70282,WEI102,
321,15.344366,104.098785,WEI111,23.2
322,15.344061,104.09935,WEI112,28.2
323,15.29348,103.54048,WEI121,
324,15.292882,103.54234,WEI122,23.5
325,15.41203,103.10234,WEI131,23.3
326,15.4110365,103.103714,WEI132,23.0
327,15.386649,102.71879,WEI141,23.4
328,15.386566,102.719154,WEI142,23.5
329,15.227773,102.50164,WEI151,25.8
330,15.050581,101.66221,WGRY,
331,14.37441,101.86515,WNKH,22.1
332,14.415645,101.68407,WNMI,20.5
333,17.602118,103.80707,YBKM,21.4
