,latitude,longitude,code,val
0,16.054785,103.66429,ABRT,
1,15.788054,104.642235,ACRU,82.7
2,17.860956,101.61144,AIT002,88.7
3,18.151169,102.17911,AIT003,81.9
4,18.016796,103.0809,AIT004,84.2
5,18.282616,103.88075,AIT005,87.5
6,17.61093,104.396034,AIT006,84.6
7,17.09678,104.76291,AIT007,84.5
8,16.546862,104.730385,AIT008,82.2
9,16.345835,104.889885,AIT009,85.8
10,15.931226,105.33725,AIT010,87.3
11,15.310499,105.49311,AIT011,87.4
12,17.61611,103.42706,BAKI,87.6
13,17.372976,103.984436,BBUA,85.4
14,17.38684,103.29087,BCNG,83.2
15,14.587073,102.49519,BDAR,91.4
16,17.704449,103.26374,BDGN,82.1
17,16.790775,103.66739,BDLM,
18,17.076832,103.02149,BDMG,85.4
19,16.008148,103.319046,BDWN,100.0
20,15.013624,102.7486,BGRT,89.7
21,14.615361,104.64972,BHPK,89.5
22,15.34234,104.821556,BHRA,86.6
23,16.706406,103.28007,BHYD,
24,14.566598,103.74285,BJAN,88.4
25,16.018831,101.50007,BJIG,89.6
26,15.6989565,102.01483,BKHI,86.0
27,17.968061,104.04947,BKHL,89.4
28,14.7293005,101.98731,BKUG,81.4
29,16.425287,103.559715,BMOD,90.7
30,15.521906,104.33994,BMUA,
31,14.854486,105.32193,BNAK,
32,17.261852,102.33818,BNHI,86.8
33,16.127357,104.115,BNHO,83.2
34,16.908905,104.61866,BNKE,80.0
35,14.694645,102.88828,BNKP,89.0
36,15.12195,104.24135,BNLG,84.1
37,16.18973,104.51632,BNMK,88.5
38,16.11657,102.706726,BNPI,86.6
39,17.686718,102.47648,BNPU,85.8
40,15.861906,104.51559,BNYM,
41,17.49028,101.93206,BPIA,90.5
42,17.351482,104.620384,BPUG,
43,17.626986,104.26147,BPUN,87.7
44,14.837475,102.06884,BSDE,86.9
45,17.317413,101.63532,BSIK,90.2
46,14.395698,102.84723,BSKJ,88.0
47,15.212073,102.4462,BSUM,
48,17.703592,103.435104,BTHO,88.4
49,14.666736,104.27321,BTUD,
50,16.44443,102.725105,BTUM,85.4
51,14.496074,102.247284,BUGN,90.6
52,18.364815,103.65407,BUSW,85.2
53,15.933129,101.699524,CHI001,85.5
54,15.770343,101.81253,CHI002,
55,15.681611,102.00953,CHI003,82.8
56,15.75297,102.25305,CHI004,
57,16.096876,102.57001,CHI005,82.4
58,16.325874,102.78599,CHI006,84.2
59,16.250986,103.07402,CHI007,
60,16.21783,103.61631,CHI008,
61,16.0342,103.90716,CHI009,
62,15.524874,104.24969,CHI010,84.5
